Airport_A,Airport_B,Count,Month,A_IATA,A_Name,A_City,A_State,A_Country,A_Elevation,A_Lat,A_Lon,A_TZ,B_IATA,B_Name,B_City,B_State,B_Country,B_Elevation,B_Lat,B_Lon,B_TZ
KEWR,KMIA,560,2025-09,EWR,Newark Liberty International Airport,Newark,New Jersey,US,18,40.6925010681,-74.1687011719,America/New_York,MIA,Miami International Airport,Miami,Florida,US,8,25.7931995392,-80.2906036377,America/New_York
KLAS,KMIA,137,2025-09,LAS,Harry Reid International Airport,Las Vegas,Nevada,US,2181,36.08010101,-115.1520004,America/Los_Angeles,MIA,Miami International Airport,Miami,Florida,US,8,25.7931995392,-80.2906036377,America/New_York
KLAS,KPHL,144,2025-09,LAS,Harry Reid International Airport,Las Vegas,Nevada,US,2181,36.08010101,-115.1520004,America/Los_Angeles,PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US,36,39.8718986511,-75.2410964966,America/New_York
KHND,KMIA,95,2025-09,HSH,Henderson Executive Airport,Las Vegas,Nevada,US,2492,35.9728012085,-115.1340026855,America/Los_Angeles,MIA,Miami International Airport,Miami,Florida,US,8,25.7931995392,-80.2906036377,America/New_York
KHND,KPHL,112,2025-09,HSH,Henderson Executive Airport,Las Vegas,Nevada,US,2492,35.9728012085,-115.1340026855,America/Los_Angeles,PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US,36,39.8718986511,-75.2410964966,America/New_York
KDTW,KPDX,84,2025-09,DTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,US,645,42.2123985291,-83.3534011841,America/Detroit,PDX,Portland International Airport,Portland,Oregon,US,31,45.58869934,-122.5979996,America/Los_Angeles
KDTW,KSLC,155,2025-09,DTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,US,645,42.2123985291,-83.3534011841,America/Detroit,SLC,Salt Lake City International Airport,Salt Lake City,Utah,US,4227,40.7883987427,-111.9779968262,America/Denver
KBTF,KTPA,27,2025-09,BTF,Skypark Airport,Bountiful,Utah,US,4234,40.8694000244,-111.927001953,America/Denver,TPA,Tampa International Airport,Tampa,Florida,US,26,27.9755001068,-82.533203125,America/New_York
KSLC,KTPA,36,2025-09,SLC,Salt Lake City International Airport,Salt Lake City,Utah,US,4227,40.7883987427,-111.9779968262,America/Denver,TPA,Tampa International Airport,Tampa,Florida,US,26,27.9755001068,-82.533203125,America/New_York
KBTF,KNZY,187,2025-09,BTF,Skypark Airport,Bountiful,Utah,US,4234,40.8694000244,-111.927001953,America/Denver,NZY,North Island Naval Air Station-Halsey Field,San Diego,California,US,26,32.69919968,-117.2149963,America/Los_Angeles
KMSP,KNZY,247,2025-09,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,Minnesota,US,841,44.8819999695,-93.2218017578,America/Chicago,NZY,North Island Naval Air Station-Halsey Field,San Diego,California,US,26,32.69919968,-117.2149963,America/Los_Angeles
KBOS,KMSP,395,2025-09,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,20,42.36429977,-71.00520325,America/New_York,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,Minnesota,US,841,44.8819999695,-93.2218017578,America/Chicago
KDTW,KHHR,465,2025-09,DTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,US,645,42.2123985291,-83.3534011841,America/Detroit,HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,California,US,66,33.9227981567,-118.3349990845,America/Los_Angeles
KBTF,KPHL,36,2025-09,BTF,Skypark Airport,Bountiful,Utah,US,4234,40.8694000244,-111.927001953,America/Denver,PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US,36,39.8718986511,-75.2410964966,America/New_York
KPHL,KSLC,66,2025-09,PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US,36,39.8718986511,-75.2410964966,America/New_York,SLC,Salt Lake City International Airport,Salt Lake City,Utah,US,4227,40.7883987427,-111.9779968262,America/Denver
