Airport_A,Airport_B,Count,Month,A_IATA,A_Name,A_City,A_State,A_Country,A_Elevation,A_Lat,A_Lon,A_TZ,B_IATA,B_Name,B_City,B_State,B_Country,B_Elevation,B_Lat,B_Lon,B_TZ
LBBG,LIRF,227,2025-01,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome
EBBR,LBBG,370,2025-01,BRU,Brussels Airport,Brussels,Flanders,BE,184,50.9014015198,4.4844398499,Europe/Brussels,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia
LBBG,LSGG,223,2025-01,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
OMAA,VOHS,262,2025-01,AUH,Abu Dhabi International Airport,Abu Dhabi,Abu-Dhabi,AE,88,24.4330005646,54.6511001587,Asia/Dubai,HYD,Rajiv Gandhi International Airport Shamshabad,Hyderabad,Telangana,IN,2024,17.2313175201,78.4298553467,Asia/Kolkata
MMMX,MMUN,1713,2025-01,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico-City,MX,7316,19.4363002777,-99.0720977783,America/Mexico_City,CUN,Cancun International Airport,Cancun,Quintana-Roo,MX,22,21.0365009308,-86.8770980835,America/Cancun
KORD,MMMX,381,2025-01,ORD,Chicago O'Hare International Airport,Chicago,Illinois,US,672,41.97859955,-87.90480042,America/Chicago,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico-City,MX,7316,19.4363002777,-99.0720977783,America/Mexico_City
KLAS,MMMX,158,2025-01,LAS,Harry Reid International Airport,Las Vegas,Nevada,US,2181,36.08010101,-115.1520004,America/Los_Angeles,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico-City,MX,7316,19.4363002777,-99.0720977783,America/Mexico_City
KHND,MMMX,65,2025-01,HSH,Henderson Executive Airport,Las Vegas,Nevada,US,2492,35.9728012085,-115.1340026855,America/Los_Angeles,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico-City,MX,7316,19.4363002777,-99.0720977783,America/Mexico_City
YMEN,YMEN,1386,2025-01,MEB,Melbourne Essendon Airport,,Victoria,AU,282,-37.728099823,144.9019927979,Australia/Melbourne,MEB,Melbourne Essendon Airport,,Victoria,AU,282,-37.728099823,144.9019927979,Australia/Melbourne
LFPB,SBGR,93,2025-01,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris,GRU,Guarulhos - Governador Andre Franco Montoro International Airport,Sao Paulo,Sao Paulo,BR,2459,-23.4355564117,-46.4730567932,America/Sao_Paulo
LFPG,SBGR,93,2025-01,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris,GRU,Guarulhos - Governador Andre Franco Montoro International Airport,Sao Paulo,Sao Paulo,BR,2459,-23.4355564117,-46.4730567932,America/Sao_Paulo
LFPB,RJTT,76,2025-01,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris,HND,Tokyo International Airport,Tokyo,Tokyo,JP,35,35.5522994995,139.7799987793,Asia/Tokyo
KJFK,LFPB,231,2025-01,JFK,John F Kennedy International Airport,New York,New York,US,13,40.63980103,-73.77890015,America/New_York,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KJFK,LFPG,245,2025-01,JFK,John F Kennedy International Airport,New York,New York,US,13,40.63980103,-73.77890015,America/New_York,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
LFPG,WSSS,39,2025-01,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris,SIN,Singapore Changi International Airport,Singapore,North-East,SG,22,1.3501900434,103.9940032959,Asia/Singapore
KSFO,LFPG,32,2025-01,SFO,San Francisco International Airport,San Francisco,California,US,13,37.6189994812,-122.375,America/Los_Angeles,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
KSFO,LFPB,47,2025-01,SFO,San Francisco International Airport,San Francisco,California,US,13,37.6189994812,-122.375,America/Los_Angeles,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KHHR,LFPG,79,2025-01,HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,California,US,66,33.9227981567,-118.3349990845,America/Los_Angeles,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
KHHR,LFPB,121,2025-01,HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,California,US,66,33.9227981567,-118.3349990845,America/Los_Angeles,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
LFPG,RJTT,59,2025-01,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris,HND,Tokyo International Airport,Tokyo,Tokyo,JP,35,35.5522994995,139.7799987793,Asia/Tokyo
KIAD,LFPB,70,2025-01,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KIAD,LFPG,62,2025-01,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
KMIA,LFPG,68,2025-01,MIA,Miami International Airport,Miami,Florida,US,8,25.7931995392,-80.2906036377,America/New_York,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
LSGG,LSGG,112,2025-01,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
KBOS,LFPB,75,2025-01,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,20,42.36429977,-71.00520325,America/New_York,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KRDU,LFPB,13,2025-01,RDU,Raleigh Durham International Airport,Raleigh/Durham,North Carolina,US,435,35.8776016235,-78.7874984741,America/New_York,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KATL,LFPB,104,2025-01,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Georgia,US,1026,33.6366996765,-84.4281005859,America/New_York,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KATL,LFPG,103,2025-01,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Georgia,US,1026,33.6366996765,-84.4281005859,America/New_York,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
EKCH,LFPB,261,2025-01,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.6179008484,12.6560001373,Europe/Copenhagen,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
RJAA,RJAA,73,2025-01,NRT,Narita International Airport,Tokyo,Chiba,JP,141,35.7647018433,140.3860015869,Asia/Tokyo,NRT,Narita International Airport,Tokyo,Chiba,JP,141,35.7647018433,140.3860015869,Asia/Tokyo
EDDF,EDDF,1230,2025-01,FRA,Frankfurt am Main International Airport,Frankfurt-am-Main,Hesse,DE,364,50.0264015198,8.543129921,Europe/Berlin,FRA,Frankfurt am Main International Airport,Frankfurt-am-Main,Hesse,DE,364,50.0264015198,8.543129921,Europe/Berlin
EGKK,LSGG,627,2025-01,LGW,London Gatwick Airport,London,England,GB,202,51.1481018066,-0.1902779937,Europe/London,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
EGKK,LEMD,261,2025-01,LGW,London Gatwick Airport,London,England,GB,202,51.1481018066,-0.1902779937,Europe/London,MAD,Madrid Barajas International Airport,Madrid,Madrid,ES,2001,40.4936,-3.56676,Europe/Madrid
EGLL,EGLL,71,2025-01,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London
EBBR,EGLL,495,2025-01,BRU,Brussels Airport,Brussels,Flanders,BE,184,50.9014015198,4.4844398499,Europe/Brussels,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London
EDDB,EGLL,414,2025-01,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,156,52.366667,13.503333,Europe/Berlin,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London
EGLL,LBBG,893,2025-01,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia
EGLL,LIMC,284,2025-01,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London,MXP,Malpensa International Airport,Milan,Lombardy,IT,768,45.6305999756,8.7281103134,Europe/Rome
EGLL,LEBL,578,2025-01,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London,BCN,Barcelona International Airport,Barcelona,Catalonia,ES,12,41.2971000671,2.0784599781,Europe/Madrid
EGLL,LSGG,925,2025-01,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
EGLL,EHAM,966,2025-01,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam
EGCC,EGLL,507,2025-01,MAN,Manchester Airport,Manchester,England,GB,257,53.3536987305,-2.2749500275,Europe/London,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London
EDDF,EGLL,937,2025-01,FRA,Frankfurt am Main International Airport,Frankfurt-am-Main,Hesse,DE,364,50.0264015198,8.543129921,Europe/Berlin,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London
EDDM,EGLL,764,2025-01,MUC,Munich International Airport,Munich,Bavaria,DE,1487,48.3538017273,11.7861003876,Europe/Berlin,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London
EGLL,LSZH,816,2025-01,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
LOWW,OMAA,82,2025-01,VIE,Vienna International Airport,Vienna,Lower-Austria,AT,600,48.1102981567,16.5697002411,Europe/Vienna,AUH,Abu Dhabi International Airport,Abu Dhabi,Abu-Dhabi,AE,88,24.4330005646,54.6511001587,Asia/Dubai
EGCC,EHAM,552,2025-01,MAN,Manchester Airport,Manchester,England,GB,257,53.3536987305,-2.2749500275,Europe/London,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam
EGCC,LSGG,336,2025-01,MAN,Manchester Airport,Manchester,England,GB,257,53.3536987305,-2.2749500275,Europe/London,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
EGKK,LIMC,337,2025-01,LGW,London Gatwick Airport,London,England,GB,202,51.1481018066,-0.1902779937,Europe/London,MXP,Malpensa International Airport,Milan,Lombardy,IT,768,45.6305999756,8.7281103134,Europe/Rome
EGKK,EHAM,246,2025-01,LGW,London Gatwick Airport,London,England,GB,202,51.1481018066,-0.1902779937,Europe/London,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam
EGKK,LFPG,85,2025-01,LGW,London Gatwick Airport,London,England,GB,202,51.1481018066,-0.1902779937,Europe/London,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
LFPB,LSZH,313,2025-01,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EHAM,OMDB,221,2025-01,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,DXB,Dubai International Airport,Dubai,Dubai,AE,34,25.2527999878,55.3643989563,Asia/Dubai
EHAM,KBOS,85,2025-01,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,20,42.36429977,-71.00520325,America/New_York
EHAM,WSSS,86,2025-01,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,SIN,Singapore Changi International Airport,Singapore,North-East,SG,22,1.3501900434,103.9940032959,Asia/Singapore
EHAM,SBGR,62,2025-01,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,GRU,Guarulhos - Governador Andre Franco Montoro International Airport,Sao Paulo,Sao Paulo,BR,2459,-23.4355564117,-46.4730567932,America/Sao_Paulo
EBBR,EHAM,262,2025-01,BRU,Brussels Airport,Brussels,Flanders,BE,184,50.9014015198,4.4844398499,Europe/Brussels,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam
EHAM,LSZH,678,2025-01,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EHAM,ENGM,439,2025-01,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,OSL,Oslo Gardermoen Airport,Oslo,Akershus,NO,681,60.193901062,11.100399971,Europe/Oslo
EHAM,LSGG,463,2025-01,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
EDDB,EHAM,471,2025-01,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,156,52.366667,13.503333,Europe/Berlin,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam
EPWA,MMUN,13,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,CUN,Cancun International Airport,Cancun,Quintana-Roo,MX,22,21.0365009308,-86.8770980835,America/Cancun
EPWA,KMIA,23,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,MIA,Miami International Airport,Miami,Florida,US,8,25.7931995392,-80.2906036377,America/New_York
CYYZ,EPWA,53,2025-01,YYZ,Lester B. Pearson International Airport,Toronto,Ontario,CA,569,43.6772003174,-79.6305999756,America/Toronto,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw
EPWA,RJAA,11,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,NRT,Narita International Airport,Tokyo,Chiba,JP,141,35.7647018433,140.3860015869,Asia/Tokyo
EPWA,ZBAA,21,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,PEK,Beijing Capital International Airport,Beijing,Beijing,CN,116,40.0801010132,116.5849990845,Asia/Shanghai
ZBAA,ZBAA,7853,2025-01,PEK,Beijing Capital International Airport,Beijing,Beijing,CN,116,40.0801010132,116.5849990845,Asia/Shanghai,PEK,Beijing Capital International Airport,Beijing,Beijing,CN,116,40.0801010132,116.5849990845,Asia/Shanghai
EPWA,KHHR,22,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,California,US,66,33.9227981567,-118.3349990845,America/Los_Angeles
EPWA,KORD,46,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,ORD,Chicago O'Hare International Airport,Chicago,Illinois,US,672,41.97859955,-87.90480042,America/Chicago
EPWA,LBBG,346,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia
EPWA,EPWA,297,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw
EIDW,LSZH,177,2025-01,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
LSGG,LSZH,479,2025-01,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EBBR,LSGG,321,2025-01,BRU,Brussels Airport,Brussels,Flanders,BE,184,50.9014015198,4.4844398499,Europe/Brussels,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
EIDW,LSGG,122,2025-01,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
EKCH,LSZH,360,2025-01,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.6179008484,12.6560001373,Europe/Copenhagen,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EDDM,LSZH,366,2025-01,MUC,Munich International Airport,Munich,Bavaria,DE,1487,48.3538017273,11.7861003876,Europe/Berlin,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
LOWW,LSZH,448,2025-01,VIE,Vienna International Airport,Vienna,Lower-Austria,AT,600,48.1102981567,16.5697002411,Europe/Vienna,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EDDB,LSGG,159,2025-01,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,156,52.366667,13.503333,Europe/Berlin,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
ENGM,LSGG,74,2025-01,OSL,Oslo Gardermoen Airport,Oslo,Akershus,NO,681,60.193901062,11.100399971,Europe/Oslo,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
EKCH,LSGG,250,2025-01,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.6179008484,12.6560001373,Europe/Copenhagen,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
LIRF,LSZH,250,2025-01,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EPWA,LSZH,271,2025-01,WAW,Warsaw Chopin Airport,Warsaw,Mazovia,PL,362,52.1656990051,20.9671001434,Europe/Warsaw,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EGKK,LSZH,135,2025-01,LGW,London Gatwick Airport,London,England,GB,202,51.1481018066,-0.1902779937,Europe/London,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EDDB,LSZH,552,2025-01,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,156,52.366667,13.503333,Europe/Berlin,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
LSZH,MMUN,21,2025-01,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich,CUN,Cancun International Airport,Cancun,Quintana-Roo,MX,22,21.0365009308,-86.8770980835,America/Cancun
KTPA,LSZH,10,2025-01,TPA,Tampa International Airport,Tampa,Florida,US,26,27.9755001068,-82.533203125,America/New_York,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
KBOS,LSZH,58,2025-01,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,20,42.36429977,-71.00520325,America/New_York,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
LIMC,LSZH,314,2025-01,MXP,Malpensa International Airport,Milan,Lombardy,IT,768,45.6305999756,8.7281103134,Europe/Rome,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
LSZH,LSZH,421,2025-01,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.4646987915,8.5491695404,Europe/Zurich
EDDB,EGSS,180,2025-01,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,156,52.366667,13.503333,Europe/Berlin,STN,London Stansted Airport,London,England,GB,348,51.8849983215,0.2349999994,Europe/London
EGSS,LOWW,171,2025-01,STN,London Stansted Airport,London,England,GB,348,51.8849983215,0.2349999994,Europe/London,VIE,Vienna International Airport,Vienna,Lower-Austria,AT,600,48.1102981567,16.5697002411,Europe/Vienna
EGSS,EIDW,546,2025-01,STN,London Stansted Airport,London,England,GB,348,51.8849983215,0.2349999994,Europe/London,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin
EGSS,LEMD,224,2025-01,STN,London Stansted Airport,London,England,GB,348,51.8849983215,0.2349999994,Europe/London,MAD,Madrid Barajas International Airport,Madrid,Madrid,ES,2001,40.4936,-3.56676,Europe/Madrid
EIDW,LEBL,292,2025-01,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin,BCN,Barcelona International Airport,Barcelona,Catalonia,ES,12,41.2971000671,2.0784599781,Europe/Madrid
EGKK,EIDW,506,2025-01,LGW,London Gatwick Airport,London,England,GB,202,51.1481018066,-0.1902779937,Europe/London,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin
EIDW,LIRF,176,2025-01,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome
EGCC,EIDW,700,2025-01,MAN,Manchester Airport,Manchester,England,GB,257,53.3536987305,-2.2749500275,Europe/London,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin
EHAM,EIDW,752,2025-01,AMS,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin
EIDW,EKCH,120,2025-01,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.6179008484,12.6560001373,Europe/Copenhagen
EGSS,EKCH,193,2025-01,STN,London Stansted Airport,London,England,GB,348,51.8849983215,0.2349999994,Europe/London,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.6179008484,12.6560001373,Europe/Copenhagen
EDDB,EIDW,169,2025-01,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,156,52.366667,13.503333,Europe/Berlin,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin
EIDW,LIMC,64,2025-01,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin,MXP,Malpensa International Airport,Milan,Lombardy,IT,768,45.6305999756,8.7281103134,Europe/Rome
LEMD,LIMC,377,2025-01,MAD,Madrid Barajas International Airport,Madrid,Madrid,ES,2001,40.4936,-3.56676,Europe/Madrid,MXP,Malpensa International Airport,Milan,Lombardy,IT,768,45.6305999756,8.7281103134,Europe/Rome
LEMD,LIRF,720,2025-01,MAD,Madrid Barajas International Airport,Madrid,Madrid,ES,2001,40.4936,-3.56676,Europe/Madrid,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome
EBBR,LIRF,262,2025-01,BRU,Brussels Airport,Brussels,Flanders,BE,184,50.9014015198,4.4844398499,Europe/Brussels,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome
LIRF,LSGG,146,2025-01,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
LEBL,LIRF,720,2025-01,BCN,Barcelona International Airport,Barcelona,Catalonia,ES,12,41.2971000671,2.0784599781,Europe/Madrid,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome
EGCC,LEMD,138,2025-01,MAN,Manchester Airport,Manchester,England,GB,257,53.3536987305,-2.2749500275,Europe/London,MAD,Madrid Barajas International Airport,Madrid,Madrid,ES,2001,40.4936,-3.56676,Europe/Madrid
EIDW,LEMD,275,2025-01,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin,MAD,Madrid Barajas International Airport,Madrid,Madrid,ES,2001,40.4936,-3.56676,Europe/Madrid
